gender IQ advice   SES School
1         M  4    Man  Shop      1
2         F  7    Man  Skil      1
3         M  5    Man  Unsk      1
4         M  6    Man  Shop      1
5         F  5    Man  Skil      1
6         M  4    Man  Prof      1
7         F  6    Gen  Prof      1
8         M  2    Ext  Skil      1
9         M  5    Man  Skil      1
10        M  6    Gen MidWC      1
11        M  5    Man  Shop      1
12        F  4    Man  Skil      1
13        F  4    Man  Skil      1
14        F  4    Man  Skil      1
15        F  4    Man  Skil      1
16        F  6    Gen  Skil      1
17        M  5    Man  Shop      1
18        M  5    Man  Shop      1
19        M  4    Man MidWC      1
20        M  4    Man  Shop      1
21        F  5    Man MidWC      1
22        M  5    Man  Shop      1
23        M  5    Man  Shop      1
24        M  3    Ext MidWC      1
25        M  3    Man  Skil      1
26        F  5    Man  Skil      1
27        F  5    Man  LoWC      1
28        M  5    Man  Skil      1
29        F  7    Gen  Prof      1
30        F  4    Man  Shop      2
31        M  5    Gen MidWC      2
32        M  5    Man  Skil      2
33        M  6    Gen  Shop      2
34        M  6    Gen  Skil      2
35        M  7   Grls MidWC      2
36        M  5    Gen  Shop      2
37        M  6   Grls  Shop      2
38        M  6    Gen  Skil      2
39        F  5    Man MidWC      2
40        M  6    Gen MidWC      2
41        M  6    Gen  Shop      2
42        F  6    Gen  Shop      2
43        F  8    Uni MidWC      2
44        F  8    Uni  Prof      2
45        M  6    Gen  Shop      2
46        M  6    Gen  Shop      2
47        F  7    Uni  Shop      2
48        M  7    Uni MidWC      2
49        F  6    Gen  LoWC      2
50        F  6    Man  Shop      2
51        M  5    Man  Shop      2
52        F  8    Uni  Prof      2
53        M  6    Man  Shop      2
54        M  6    Gen MidWC      2
55        M  6    Man  Shop      2
56        M  5    Man  Shop      2
57        M  7    Uni  Shop      2
58        F  8    Uni  Shop      2
59        M  6    Gen  Skil      2
60        M  7    Gen  Shop      2
61        M  5    Man  Shop      2
62        M  3    Gen MidWC      2
63        M  5    Man  Skil      3
