"Party" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"Sessions" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" NA "+" "-"
"Shelby" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-"
"Murkowski" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" NA "-" "-" "-"
"Stevens" "(R)" "-" "-" "-" "+" "+" "-" "-" "-" "-" "-" "-" NA "-" "-" "-" "-" "-" "+" "-" "+"
"Kyl" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-"
"McCain" "(R)" "-" "-" "-" "+" "+" "-" "-" "-" "-" "+" "-" "+" "-" "+" "-" "-" "+" "-" "+" "+"
"Hutchinson" "(R)" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-"
"Lincoln" "(D)" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+"
"Boxer" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+"
"Feinstein" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "-" "+"
"Allard" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-"
"Campbell" "(R)" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" NA "+" "-" "+"
"Dodd" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Lieberman" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+"
"Biden" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Carper" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "-" "+" "+" "+" "+" "+"
"Graham" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Nelson" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Cleland" "(D)" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "-" "+"
"Miller" "(D)" "-" "-" "-" "+" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "+" "+" "+" "+"
"Akaka" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA "+" "+" "+" "+" "+" "+"
"Inouye" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA "+" "+" "+" "-" "+"
"Craig" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Crapo" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+"
"Durbin" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+"
"Fitzgerald" "(R)" "-" "-" "-" "+" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-"
"Bayh" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Lugar" "(R)" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "+"
"Grassley" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-"
"Harkin" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Brownback" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Roberts" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Bunning" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"McConnell" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+"
"Breaux" "(D)" "-" "-" "+" "+" "-" "+" "+" "-" "+" "+" "+" "-" "-" "-" "+" "-" "+" "+" "-" "+"
"Landrieu" "(D)" "+" "-" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+"
"Collins" "(R)" "-" "-" "-" "+" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "-" "+" "+" "-" "+"
"Snowe" "(R)" "-" "-" "-" "+" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "+" "+" "+" "-" "+"
"Mikulski" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+"
"Sarbanes" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+"
"Kennedy" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Kerry" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA
"Levin" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Stabenow" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
