"Party" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"Abercrombie" "(D)" "+" "+" "+" "+" "-" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Ackerman" "(D)" NA "+" NA "+" "+" "+" "+" NA "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Aderholt" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" NA "-" "+"
"Akin" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Allen" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Andrews" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Armey" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Baca" "(D)" "+" "+" "+" "+" "+" "+" "+" NA "+" "-" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+"
"Bachus" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Baird" "(D)" NA "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Baker" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Baldacci" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Baldwin" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Ballenger" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Barcia" "(D)" "+" "+" "+" "-" "+" "-" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+"
"Barr" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Barrett" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Bartlett" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-" "-" "-" "-" "+"
"Barton" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" NA "-" "-"
"Bass" "(R)" "-" "-" "-" "-" "-" "+" "-" "-" "+" "-" "-" "-" "+" "-" "-" "+" "+" "-" "-" "-"
